"","BALANCE","BALANCE_FREQUENCY","PURCHASES","Monthly_Avg_PURCHASES","ONEOFF_PURCHASES","INSTALLMENTS_PURCHASES","CASH_ADVANCE","Monthly_CASH_ADVANCE","PURCHASES_FREQUENCY","ONEOFF_PURCHASES_FREQUENCY","PURCHASES_INSTALLMENTS_FREQUENCY","CASH_ADVANCE_FREQUENCY","CASH_ADVANCE_TRX","PURCHASES_TRX","CREDIT_LIMIT","LIMIT_USAGE","PAYMENTS","MINIMUM_PAYMENTS","MIN_PAYMENTS_RATIO","PRC_FULL_PAYMENT","TENURE"
"BALANCE",1,0.365691110160699,0.139129240098164,0.205284063817752,0.147315982426431,0.0522889749329761,0.564097285062159,0.178912745831625,-0.103811906206232,0.0782475596618619,-0.0906577162346266,0.492881585644265,0.484082559119799,0.0958278778031485,0.508580836838382,0.617047627360396,0.345600271141326,0.644551490870618,-0.177797661855574,-0.378440880405151,0.0748539971664201
"BALANCE_FREQUENCY",0.365691110160699,1,0.184777654467817,0.0365266298984927,0.147402568361104,0.163669583608447,0.116571339629378,-0.0925610261282326,0.229715472856615,0.204045509871897,0.176079398768595,0.200344236485388,0.175111172173513,0.230975073609264,0.105528497421688,0.446500127317593,0.118367624164433,0.209478925923176,-0.244777942228471,-0.0921337544216949,0.119775887199606
"PURCHASES",0.139129240098164,0.184777654467817,1,0.663379014206837,0.877766514558873,0.708090964160175,-0.124220514180508,0.0275406059401452,0.558802036530802,0.654089382081645,0.441279575297555,-0.180794000798457,-0.134470726222002,0.797011690859898,0.354555957990493,-0.100087339005281,0.523714983151731,0.12199741371868,0.164241176105341,0.209892869059053,0.114848864806942
"Monthly_Avg_PURCHASES",0.205284063817752,0.0365266298984927,0.663379014206837,1,0.696194956342125,0.284224441991094,0.0599531168000392,0.0500952576341747,-0.0648619335517138,0.315206448733941,-0.105561258858227,0.0291885278460015,0.0320417253200514,0.309849857770329,0.283293448410031,0.0278307016622204,0.460421450636712,0.124083288996955,0.161174941772672,0.00948239770843975,-0.0156591869643314
"ONEOFF_PURCHASES",0.147315982426431,0.147402568361104,0.877766514558873,0.696194956342125,1,0.32551775874518,-0.0839651404849697,0.0106614413908903,0.378012553936206,0.741202847841473,0.167199683118748,-0.119454654438536,-0.0866136885912998,0.635206133176442,0.339044916838562,-0.0743466564287867,0.472190629775335,0.0623934884942578,0.151229960230046,0.133680625449153,0.0835583615236608
"INSTALLMENTS_PURCHASES",0.0522889749329761,0.163669583608447,0.708090964160175,0.284224441991094,0.32551775874518,1,-0.135736441472236,0.0331761113890412,0.611247093460956,0.255384133036906,0.699843779888986,-0.195854722201354,-0.149335436579007,0.706359215226552,0.217869571060213,-0.107199334701897,0.347170976623549,0.125170147498434,0.113156916868213,0.235714761621369,0.11050829182214
"CASH_ADVANCE",0.564097285062159,0.116571339629378,-0.124220514180508,0.0599531168000392,-0.0839651404849697,-0.135736441472236,1,0.510006605013596,-0.28027092812735,-0.117474816399747,-0.232792806678458,0.733429306881108,0.757236579464475,-0.152837860648878,0.314332970774478,0.290374401880529,0.385678005023004,0.314308259896869,-0.0188084809558329,-0.207929436190891,-0.0913308774170629
"Monthly_CASH_ADVANCE",0.178912745831625,-0.0925610261282326,0.0275406059401452,0.0500952576341747,0.0106614413908903,0.0331761113890412,0.510006605013596,1,-0.000906157910482873,-0.0343283445241531,0.00822272727376367,-0.0958884181217885,0.0243118580231871,-0.00419970943278857,0.255513629700352,-0.0928356177471838,0.258211275224052,0.110141214865369,0.0655340681602271,0.0393318312564015,-0.105229956468357
"PURCHASES_FREQUENCY",-0.103811906206232,0.229715472856615,0.558802036530802,-0.0648619335517138,0.378012553936206,0.611247093460956,-0.28027092812735,-0.000906157910482873,1,0.500821665134038,0.862933637269964,-0.339634013642138,-0.273103395244102,0.723099849604036,0.117277475617914,-0.218994648805141,0.138414343729919,-0.00916658662066468,0.044929783873508,0.318082997460556,0.0615056475230483
"ONEOFF_PURCHASES_FREQUENCY",0.0782475596618619,0.204045509871897,0.654089382081645,0.315206448733941,0.741202847841473,0.255384133036906,-0.117474816399747,-0.0343283445241531,0.500821665134038,1,0.143580927094709,-0.12460214891166,-0.0956307117372714,0.637276938744889,0.29620156975779,-0.0904031816515991,0.303318679762232,-0.00673265179215323,0.0881413615729955,0.14011388110089,0.0781455404801748
