"","CUST_ID","BALANCE","BALANCE_FREQUENCY","PURCHASES","ONEOFF_PURCHASES","INSTALLMENTS_PURCHASES","CASH_ADVANCE","PURCHASES_FREQUENCY","ONEOFF_PURCHASES_FREQUENCY","PURCHASES_INSTALLMENTS_FREQUENCY","CASH_ADVANCE_FREQUENCY","CASH_ADVANCE_TRX","PURCHASES_TRX","CREDIT_LIMIT","PAYMENTS","MINIMUM_PAYMENTS","PRC_FULL_PAYMENT","TENURE","Monthly_Avg_PURCHASES","Monthly_CASH_ADVANCE","LIMIT_USAGE","MIN_PAYMENTS_RATIO"
"1","C10001",40.900749,0.818182,95.4,0,95.4,0,0.166667,0,0.083333,0,0,2,1000,201.802084,139.509787,0,12,47.6999046001908,NA,0.040900749,1.44650843743314
"2","C10002",3202.467416,0.909091,0,0,0,6442.945483,0,0,0,0.25,4,0,7000,4103.032597,1072.340217,0.222222,12,NA,2147.64849433333,0.457495345142857,3.82624145952366
"3","C10003",2495.148862,1,773.17,773.17,0,0,1,1,0,0,0,12,7500,622.066742,627.284787,0,12,64.4308333333333,NA,0.332686514933333,0.991681537464099
"4","C10004",1666.670542,0.636364,1499,1499,0,205.788017,0.083333,0.083333,0,0.083333,1,1,7500,0,NA,0,12,1499.00599602398,205.788840155361,0.222222738933333,NA
"5","C10005",817.714335,1,16,16,0,0,0.083333,0.083333,0,0,0,1,1200,678.334763,244.791237,0,12,16.000064000256,NA,0.6814286125,2.77107453401202
"6","C10006",1809.828751,1,1333.28,0,1333.28,0,0.666667,0,0.583333,0,0,8,1800,1400.05777,2407.246035,0,12,166.659916670042,NA,1.00546041722222,0.581601443991993
"7","C10007",627.260806,1,7091.01,6402.63,688.38,0,1,1,1,0,0,64,13500,6354.314328,198.065894,1,12,590.9175,NA,0.0464637634074074,32.0818198412292
"8","C10008",1823.652743,1,436.2,0,436.2,0,1,0,1,0,0,12,2300,679.065082,532.03399,0,12,36.35,NA,0.792892496956522,1.27635657639092
"9","C10009",1014.926473,1,861.49,661.49,200,0,0.333333,0.083333,0.25,0,0,5,7000,688.278568,311.963409,0,12,215.372715372715,NA,0.144989496142857,2.20627980123143
"10","C10010",152.225975,0.545455,1281.6,1281.6,0,0,0.166667,0.166667,0,0,0,3,11000,1164.770591,100.302262,0,12,640.798718402563,NA,0.013838725,11.6126054166156
"11","C10011",1293.124939,1,920.12,0,920.12,0,1,0,1,0,0,12,1200,1083.301007,2172.697765,0,12,76.6766666666667,NA,1.07760411583333,0.498597193061503
"12","C10012",630.794744,0.818182,1492.18,1492.18,0,0,0.25,0.25,0,0,0,6,2000,705.618627,155.549069,0,12,497.393333333333,NA,0.315397372,4.53630890584115
"13","C10013",1516.92862,1,3217.99,2500.23,717.76,0,1,0.25,0.916667,0,0,26,3000,608.263689,490.207013,0.25,12,268.165833333333,NA,0.505642873333333,1.24083024695528
"14","C10014",921.693369,1,2137.93,419.96,1717.97,0,0.75,0.166667,0.75,0,0,26,7500,1655.891435,251.137986,0.083333,12,237.547777777778,NA,0.1228924492,6.59355225935434
"15","C10015",2772.772734,1,0,0,0,346.81139,0,0,0,0.083333,1,0,3000,805.647974,989.962866,0,12,NA,346.812777251109,0.924257578,0.813816357834982
"16","C10016",6886.213231,1,1611.7,0,1611.7,2301.491267,0.5,0,0.5,0.166667,4,11,8000,1993.439277,2109.90649,0,12,268.616666666667,1150.74333201334,0.860776653875,0.944799822384546
"17","C10017",2072.074354,0.875,0,0,0,2784.274703,0,0,0,0.25,3,0,3000,391.974562,376.579631,0,8,NA,1392.1373515,0.690691451333333,1.04088094451396
"18","C10018",41.089489,0.454545,519,0,519,0,0.416667,0,0.333333,0,0,8,2500,254.590662,73.203221,0.25,12,103.799916960066,NA,0.0164357956,3.47786147278957
"19","C10019",1989.072228,1,504.35,166,338.35,0,0.666667,0.083333,0.583333,0,0,9,13000,1720.837373,744.613395,0,12,63.0437184781408,NA,0.153005556,2.31104810167966
"20","C10020",3577.970933,1,398.64,0,398.64,0,1,0,1,0,0,12,4000,1053.980464,12465.54938,0,12,33.22,NA,0.89449273325,0.0845514651517108
"21","C10021",2016.684686,1,176.68,0,176.68,0,0.666667,0,0.666667,0,0,8,2000,223.0686,13557.29726,0,12,22.0849889575055,NA,1.008342343,0.0164537662427858
