"","ML3","ML1","ML2","ML6","ML4","ML7","ML5"
"ONEOFF_PURCHASES",0.949778177211602,0.170427772981826,-0.0677474212120829,-0.0203025169021351,-0.0168022669760835,0.0932038060109394,-0.174587874949209
"PURCHASES",0.855549466464984,0.450437825302932,-0.0865146459206536,-0.0245878493164214,-0.00326583793425491,0.13457967261916,0.174850585661721
"Monthly_Avg_PURCHASES",0.796985704948381,-0.162807785951469,0.0197438906223653,0.0057337134712887,0.0240286161440859,0.095721318840923,0.244661372194545
"ONEOFF_PURCHASES_FREQUENCY",0.642159959465502,0.320314703906813,-0.0588302409326005,-0.0172353358005853,-0.0612864721304937,0.118802383947225,-0.341492375589252
"PAYMENTS",0.505708440390977,0.134663841212385,0.284856942585039,0.035754734843751,0.272932438604194,0.227022097112899,0.14909487966441
"PURCHASES_FREQUENCY",0.175167447946705,0.942692928415653,-0.169691504040005,-0.064853415455403,-0.00847951767199325,0.0273240022148392,-0.204538255509325
"PURCHASES_INSTALLMENTS_FREQUENCY",0.00787935764589937,0.904538353643396,-0.131959083827804,-0.0447415239162306,0.00678921720867574,0.0158456903793575,0.0857711815902241
"INSTALLMENTS_PURCHASES",0.307755847785009,0.700779638555662,-0.0721569821181193,-0.0308881045023606,0.0120042892534727,0.137684271785185,0.591619173116034
"PURCHASES_TRX",0.541203785861394,0.667956172582616,-0.0809139616821022,0.0227974919055816,-0.0242043399598042,0.114237120001131,0.0749722988095814
"CASH_ADVANCE_FREQUENCY",-0.024927295708588,-0.168707835612175,0.934137056505103,0.266747406720591,-0.115805252423432,0.0143950790056124,0.00878777356132768
"CASH_ADVANCE_TRX",-0.00568650566777908,-0.114799493325694,0.879274409759102,0.236466515649578,0.0228797534098082,0.030028112985094,-0.000276996333493161
"CASH_ADVANCE",-0.00317259161016819,-0.140673908422485,0.768429146539398,0.206173465911158,0.558845001219625,0.104830676443986,0.00698659960484549
"LIMIT_USAGE",0.00352762820856889,-0.121596743850789,0.168860984406351,0.898547618790421,-0.042554872048491,-0.171669225632683,0.0670239471095555
"BALANCE",0.164042253967903,-0.0372616987382795,0.338332360079503,0.711652076400507,0.190356736096845,0.440293156375315,0.0211065873085312
"MINIMUM_PAYMENTS",0.0834791197052379,0.0568796885096716,0.118413241502254,0.625423145027492,0.145000903338549,0.218711641828491,0.108762579254951
"PRC_FULL_PAYMENT",0.0761260034110136,0.270344849157342,-0.106404099753213,-0.479924887027794,0.0195433004773557,0.0111099123804155,-0.000141360004529913
"BALANCE_FREQUENCY",0.111774736944589,0.261017626566102,0.118842594029037,0.478224660626675,-0.077857569993754,0.0362881331916699,-0.0653736486394487
"MIN_PAYMENTS_RATIO",0.164201461297428,0.0143052553199816,0.0181891957909401,-0.309510628023869,0.0608183424946389,0.00916119885550016,0.0718479071511016
"Monthly_CASH_ADVANCE",0.0199920053523402,0.00202269949761398,0.0216501149351965,-0.0529422648181796,0.886116341626005,0.0870914647164843,0.00500665245745439
"CREDIT_LIMIT",0.267378147792466,0.0729946936387493,0.172517775018284,-0.00685986860200663,0.187805512008395,0.860456958268567,-0.0418201885679761
"TENURE",0.0599399631469772,0.0406871491012068,-0.148758827225811,0.0856155607526074,-0.0358616429268409,0.188494047953182,0.0519721781262786
